phenotype	n_cases	n_controls	h2_liability	h2_liability_se	h2_z	h2_p
A09	2161.0	359033.0	-0.0296871232534991	0.0432846041881683	-0.685858720676807	0.753598898527962
C18	2226.0	358968.0	0.120329267144479	0.0424608628451587	2.83388652706567	0.0022992828851252
C34	1427.0	359767.0	0.116965848562403	0.0581329931456493	2.01203898566431	0.0221079137652842
C43	1672.0	359522.0	0.0812834303975513	0.067756760280052	1.19963572729261	0.115140422362847
C44	9086.0	352108.0	0.141494647351013	0.0266333570734094	5.31268540278312	5.40107161568863e-08
C50	8304.0	352890.0	0.110279636731262	0.0196064876911807	5.62465029271244	9.294207813972181e-09
C67	1554.0	359640.0	0.16865169220795	0.0669633181051758	2.51856832935096	0.0058916509052311
D12	8877.0	352317.0	0.118092835949448	0.0186602349699565	6.32858247174169	1.23711802328752e-10
D17	4314.0	356880.0	0.0366104477665743	0.0244993527351019	1.49434346949583	0.0675429344434077
D22	3501.0	357693.0	0.0455648133328891	0.0305207430568653	1.49291297554565	0.0677299840806645
D23	3085.0	358109.0	0.0202888355149852	0.0336550510156515	0.602846672422211	0.273305347371165
D50	3222.0	357972.0	0.0512334493069336	0.0323652550025743	1.5829768467098	0.0567133708573225
D64	3702.0	357492.0	0.0010798698438456	0.026347477520867	0.0409857013063368	0.483653647494391
G47	2723.0	358471.0	0.143027552026631	0.0391392801687622	3.65432249673269	0.0001289309928155
G56	8130.0	353064.0	0.157519300042347	0.0188347806063604	8.36321395690446	3.0516193143163e-17
H00	1467.0	359727.0	0.0645260652916648	0.0627608479320727	1.02812609162806	0.151945259356547
H02	4294.0	356900.0	0.0630861841583861	0.0257765011695159	2.44743007375236	0.0071939520488691
H04	1476.0	359718.0	0.0017634372647796	0.0589784553856992	0.0298996854571281	0.488073528353683
H25	6332.0	354862.0	0.100205023151637	0.0254472971231457	3.93774720618539	4.1125089228075e-05
H26	11306.0	349888.0	0.0866484396887691	0.0153852304595214	5.63192341621019	8.910541077361311e-09
H33	2671.0	358523.0	0.0818887405869051	0.041106719872948	1.9921010686332	0.0231799848736418
H40	1715.0	359479.0	0.0571531544589253	0.0561651549153569	1.01759096979359	0.154436190280421
I20	6246.0	354948.0	0.129187306029954	0.0241282720187813	5.35418806325605	4.29707202105154e-08
I21	5948.0	355246.0	0.136627615501945	0.0254334443879127	5.37196666790745	3.89412538195037e-08
I25	12769.0	348425.0	0.163823305113139	0.0221259075298848	7.40413946374257	6.600182038724571e-14
I26	2118.0	359076.0	0.109043733566283	0.0490893646543297	2.22133112404552	0.0131642711435343
I47	1685.0	359509.0	0.0212099936102758	0.0559605612005845	0.379016813899541	0.352337689028605
I48	6356.0	354838.0	0.1443259750605	0.0259116637224448	5.56992312830473	1.27425875704756e-08
I63	2353.0	358841.0	0.0325979700821521	0.0386603320463236	0.843189087023167	0.199561350388149
I80	2289.0	358905.0	0.178381024049897	0.0506102822022935	3.52460046235057	0.0002120609785534
I83	8763.0	352431.0	0.189299080039041	0.0246916372176895	7.66652605374519	8.83586408010408e-15
I84	12102.0	349092.0	0.0574752767265738	0.0134822139702568	4.2630443971124	1.00830215910772e-05
J18	4630.0	356564.0	0.0506931294798474	0.027388225733095	1.85090958333207	0.0320912809158098
J22	3140.0	358054.0	0.0452684100516661	0.0357389251943256	1.2666416185021	0.102641731978257
J32	1179.0	360015.0	-0.02057146070691	0.072568834170511	-0.283475143869258	0.611593683565556
J33	2207.0	358987.0	0.15965827260226	0.0427081162052921	3.73835904713765	9.26126462409943e-05
J34	4438.0	356756.0	0.0467276771442936	0.0277444077836791	1.68421966360304	0.0460696122111034
J44	1531.0	359663.0	0.31740930314491	0.0620496441291871	5.11540892134795	1.56530990710827e-07
J45	1693.0	359501.0	0.109463704361044	0.0538156642770378	2.03404911621152	0.0209733217798786
K01	1443.0	359751.0	0.0605466096559424	0.0581079694322624	1.04196739702844	0.148713397422925
K02	2110.0	359084.0	0.0763782483324641	0.0459154349715401	1.66345474849157	0.0481107208858884
K08	1838.0	359356.0	0.0276964056492358	0.0547945122222609	0.505459479899956	0.306618075702135
K13	2157.0	359037.0	-0.0187591079608148	0.0398419190377877	-0.470838463956088	0.681121952732275
K20	4799.0	356395.0	0.0686643206206269	0.0245245867641674	2.79981560060175	0.0025565903118035
K21	10743.0	350451.0	0.0819899274223897	0.0145020149533836	5.65369210319698	7.851870715099361e-09
K22	5494.0	355700.0	0.107577789086466	0.0238285964785604	4.51465067123269	3.17106094893499e-06
K25	1834.0	359360.0	0.0205637115414455	0.0475025797203076	0.432896732399029	0.332544896992557
K26	1291.0	359903.0	0.0080928830240498	0.0663519213995854	0.12196908323593	0.451461751713978
K29	12678.0	348516.0	0.0503216709548922	0.0136356299177128	3.6904544387439	0.0001119268911067
K30	7586.0	353608.0	0.0218691037027743	0.0195391191049559	1.11924716694252	0.131517354168596
K31	2374.0	358820.0	0.0340240633029733	0.0405940807392431	0.838153314063879	0.200972301684034
K35	2404.0	358790.0	0.108225547574733	0.0487153017107935	2.22159247246855	0.0131554295273287
K40	13147.0	348047.0	0.120213107349775	0.0169891776631192	7.07586380774265	7.42603356778646e-13
K42	2528.0	358666.0	0.112054895412352	0.0357187594844744	3.13714409541738	0.0008530112960585
K43	2249.0	358945.0	0.120287089653602	0.0400121247757338	3.00626598381881	0.0013223877010771
K44	8042.0	353152.0	0.0755325258181506	0.0172811369248289	4.37080767004561	6.18938971942587e-06
K51	2143.0	359051.0	0.185505427767737	0.0424316397833148	4.37186563411302	6.15946672657649e-06
K52	8757.0	352437.0	0.0513123101557922	0.0168893268033877	3.03815011415965	0.0011901767325361
K56	1851.0	359343.0	0.0190033418958427	0.0555387047249004	0.342163937563396	0.366113761358567
K57	12662.0	348532.0	0.129184247197682	0.0131722683705257	9.80728934180729	5.2372210897329204e-23
K59	3712.0	357482.0	0.0338082186574408	0.0294074725282064	1.14964720701561	0.12514460324654
K60	2109.0	359085.0	0.105266239012644	0.0474160009831959	2.22005729774533	0.0132074392017328
K62	13882.0	347312.0	0.0167276739427067	0.0111043233414097	1.50641092017977	0.0659808595512538
K63	8041.0	353153.0	0.0476436367718346	0.0182914061558108	2.604700610002	0.0045977285944229
K80	10520.0	350674.0	0.137235773206208	0.0206406077786152	6.64882423415803	1.4772177500356797e-11
K81	1930.0	359264.0	0.0419308185876509	0.0431797000558914	0.971077115713542	0.165754939282855
K85	1292.0	359902.0	0.0915629711845777	0.0662371207932059	1.38235131732914	0.0834319281202633
L02	1697.0	359497.0	0.0025595616573876	0.0600821634470245	0.0426010235074915	0.483009789795771
L03	4247.0	356947.0	0.100955069400702	0.0333241272198711	3.02948877654335	0.0012248400275302
L57	1447.0	359747.0	0.156067370805153	0.0607285124711533	2.56991921017804	0.00508611172524
L72	6644.0	354550.0	0.0094188222469475	0.0191204532253764	0.492604549480396	0.311146016419015
L82	2031.0	359163.0	0.0773934863735753	0.0461323398244722	1.67764060240707	0.0467086407031383
L90	1683.0	359511.0	-0.0028284878872849	0.0519237263616517	-0.0544739001893739	0.521721198831122
L98	4035.0	357159.0	0.024895376680983	0.0285567420330515	0.871786307141381	0.191662482962166
M06	1401.0	359793.0	0.0520952210775154	0.0560028184356547	0.930224987468639	0.176127303459966
M15	1264.0	359930.0	0.162765608282103	0.0660502854206201	2.46426805343206	0.0068646695974706
M16	9136.0	352058.0	0.151297218698087	0.021628317792333	6.99532992583087	1.3231771533698e-12
M17	11497.0	349697.0	0.144360136218261	0.0146653392656168	9.84362745406895	3.65145961350483e-23
M19	4165.0	357029.0	0.0683158953372813	0.0278939842278066	2.44912647757144	0.0071601576627695
M20	7773.0	353421.0	0.0964170111975293	0.017918592173806	5.38083629909693	3.70702964621123e-08
M23	11831.0	349363.0	0.074823246958851	0.0133941036026789	5.58628252986529	1.15990861401746e-08
M24	1268.0	359926.0	0.0864755799422413	0.0640246219795261	1.35066131229786	0.0884019753095237
M25	7218.0	353976.0	0.0581163799173697	0.0171562007180427	3.38748542713484	0.0003526823215286
M47	2004.0	359190.0	0.0651510577086507	0.0532916491877248	1.22253784038753	0.110752151587885
M48	1890.0	359304.0	0.12236468629489	0.0407927098013277	2.99967045314816	0.0013513592554892
M51	4690.0	356504.0	0.0767696727927745	0.0257006315019361	2.98707340272908	0.0014083104304255
M54	8361.0	352833.0	0.114166823913679	0.0162037418971845	7.04570738278153	9.22608317148352e-13
M65	2812.0	358382.0	0.0727043508025199	0.0355090922199738	2.04748548208799	0.0203052204393792
M67	2613.0	358581.0	0.0478958263830176	0.0342637692757949	1.39785631865239	0.081078109082025
M72	3193.0	358001.0	0.322749731165382	0.117473739616076	2.74742025085932	0.0030033057291749
M75	7040.0	354154.0	0.0454636407330919	0.0176315993969455	2.57853185689826	0.0049610575232466
M79	6946.0	354248.0	0.0473611927077424	0.0192407242760902	2.46150779087856	0.0069177196416956
N13	1359.0	359835.0	0.0986425380822983	0.0638057419197542	1.54598215010738	0.0610544393934454
N20	3540.0	357654.0	0.169968328457944	0.0323136318134063	5.25995745199485	7.2044369246127e-08
N23	1408.0	359786.0	-0.0235703598690456	0.0624915266233242	-0.377176893294975	0.64697892457717
N30	1575.0	359619.0	-0.0427941288483028	0.0520761849108213	-0.821760060219202	0.794393265459644
N32	4238.0	356956.0	0.0655405925564552	0.0249593252150711	2.62589601248034	0.0043210607363095
N35	2037.0	359157.0	0.0381860790439696	0.0470399136328564	0.81178038169903	0.208458830549756
N39	10551.0	350643.0	0.0639346612276176	0.0138076740189574	4.63037157017453	1.8250506277209e-06
N60	1157.0	360037.0	0.124031647180461	0.0678283452549422	1.82861083687463	0.0337289640508797
N63	1199.0	359995.0	0.0826542634689875	0.065289036953299	1.26597461574	0.102761085223242
R00	2542.0	358652.0	0.0438520326766481	0.0427573685047338	1.02560176667077	0.152539667194163
R04	2836.0	358358.0	0.0829379096257668	0.0386503411308453	2.14585194332418	0.0159423964623796
R06	4126.0	357068.0	0.0140873146404555	0.0274013814425737	0.514109650638563	0.303587665268089
R07	24530.0	336664.0	0.10027935301131	0.009173163468647	10.9318179441645	4.06025194564387e-28
R10	20240.0	340954.0	0.0624202765794621	0.0092201923012341	6.76995387299105	6.4411730532318e-12
R11	2271.0	358923.0	0.084963972880021	0.0386537793263241	2.19807673042099	0.0139718192215853
R13	3471.0	357723.0	-0.0095151351229916	0.0305223954787939	-0.311742737545041	0.622381977269246
R19	8796.0	352398.0	0.0060637784077837	0.0143046835610669	0.42390161109803	0.335818784574332
R22	1358.0	359836.0	0.0481553795690422	0.0642498316722857	0.749502034723838	0.226777336361049
R31	11283.0	349911.0	0.0607240659150262	0.0134510217065321	4.51445750663962	3.17395240471157e-06
R35	1773.0	359421.0	0.124644405025249	0.0564817784052378	2.2068073730074	0.0136637598732065
R39	2698.0	358496.0	-0.0593658951940898	0.038277557751182	-1.55093215664358	0.939541028392704
R50	1156.0	360038.0	0.061050324636997	0.0791475482804427	0.771348272478107	0.220250263423733
R51	4271.0	356923.0	0.0703396202073705	0.0279389350716286	2.5176199460372	0.0059075366378011
R55	5183.0	356011.0	0.0622056063615102	0.0223566036836718	2.78242649204101	0.0026977043032752
R63	1279.0	359915.0	0.0569838620691028	0.0680548025740387	0.837323155953741	0.201205473353203
R69	8280.0	352914.0	0.048637737719702	0.015810327001813	3.07632711923825	0.0010478389573359
R79	2622.0	358572.0	0.035630680935911	0.0379453270240283	0.939000497040083	0.173865244573257
R91	1130.0	360064.0	0.221650964137301	0.0679010147275322	3.26432476785103	0.0005486265641695
S01	1694.0	359500.0	-0.0526970462723553	0.0487363811998211	-1.0812671145257	0.860210844362879
S02	1351.0	359843.0	0.100063576682094	0.0634659117140337	1.57665074021096	0.0574379553585759
S09	1333.0	359861.0	0.127605447757975	0.0692794738633572	1.841894007591	0.0327453276639263
S42	1791.0	359403.0	0.103948755196056	0.0509093197889379	2.041841368673	0.0205836346120043
S52	5080.0	356114.0	0.0926848882704768	0.0292064036689398	3.17344406114076	0.0007532096366475
S61	1865.0	359329.0	0.0874249754110846	0.0510858826590823	1.7113333637496	0.0435097953412483
S62	1763.0	359431.0	0.0764962364844439	0.0610599558720034	1.2528053024604	0.105138285732788
S72	1803.0	359391.0	0.0387540766102795	0.049787735314474	0.778386009435805	0.218170742041132
S82	4557.0	356637.0	0.0591219905026088	0.0277340812387256	2.13174505380967	0.0165139054282918
T39	1161.0	360033.0	0.0994833732887203	0.0695401982096178	1.43058800305463	0.0762741638932787
T81	5550.0	355644.0	0.0518134009095842	0.021068675402856	2.45926238450475	0.00696114123831
T84	3719.0	357475.0	0.0785556684136589	0.0280972646823285	2.79584754252132	0.0025881906334864
Z01	1370.0	359824.0	0.0564923212443524	0.057077262406638	0.989751765630974	0.161147733049778
Z03	4951.0	356243.0	0.0414638980456362	0.0242548021275974	1.70951293799499	0.0436779886119427
Z08	4214.0	356980.0	0.0197654287706445	0.0281818277493676	0.701353686014492	0.241541158774398
Z09	8464.0	352730.0	0.0514077722400178	0.0179572158082618	2.86279191545751	0.0020996312109585
Z12	4152.0	357042.0	0.0124312301449461	0.0255103679314631	0.487301091789199	0.313022487062849
Z42	1963.0	359231.0	0.0835374555945599	0.0405452148310683	2.06035301434754	0.0196824026079444
Z43	1356.0	359838.0	0.0117902795329467	0.0600627836060839	0.196299252633247	0.42218797316173
Z45	2209.0	358985.0	0.0496776392067207	0.0383839711280702	1.29422875608593	0.097793208385691
Z47	2774.0	358420.0	0.0158816088992937	0.0351304574912336	0.452075208620804	0.325607401391654
Z53	1754.0	359440.0	0.0409970349410376	0.0472822800064119	0.867069755000776	0.192951895533906
